Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="6e779f14-f3c6-4638-8967-5b03d782a3d0",="AUI-10372","5","3:18","0.00","USD","12.183",="FLO | EVC122 | SLID 43326 | 2316 W Martin Luther King Jr Blvd"
="cdf97140-1583-44dc-b29d-59cb7559d223",="AUI-10263","159","542:59","67.38","USD","2846.116",="FLO | EVC137 | SLID 233111 | 1231 S Hill St"
="c3acf3df-c3da-4321-a2fe-229ee621d828",="AUI-10254","57","115:08","214.96","USD","497.165",="FLO | EVC147 | SLID 228105 | 942 S Crocker St"
="a450ce03-f3f8-47bd-a7ff-5d92fa992bf5",="AUI-10265","26","32:57","50.29","USD","139.396",="FLO | EVC149 | SLID 189595 | 5764 S Vermont Ave"
="69317c4d-20a0-4f56-90cf-8eecd2e46d79",="AUI-10218","122","210:57","260.14","USD","1142.335",="FLO | EVC150 | SLID 154242 | 7150 N Shoup Ave"
="20ce9dca-5da0-4dbf-989d-1cc2e10cfa22",="AUI-10241","17","59:03","29.20","USD","158.86",="FLO | EVC151 | SLID 150900 | 20771 W Sherman Way"
="5f25e321-b785-4bef-90c0-d4a5293cc412",="AUI-10201","60","165:30","84.68","USD","550.297",="FLO | EVC160 | SLID 150834 | 145 E Olympic Blvd"
="6c50c7be-024a-4fb6-9c07-dfebe4ff3112",="AUI-10226","139","774:06","81.94","USD","3446.609",="FLO | EVC164 | SLID 3494 | 1222 S Grand Ave"
="9287c803-1e45-4088-9655-4dffbd1a4f31",="AUI-10212","34","45:01","20.10","USD","157.361",="FLO | EVC171 | SLID 77384 | 1676 N Hobart Blvd"
="a7613609-fb1e-458c-8dd3-f8369293b8b5",="AUI-10244","25","77:54","11.05","USD","317.646",="FLO | EVC173 | SLID 144710 | 5617 N Laurel Canyon Blvd"
="f871822d-1a55-4235-a359-9731d1125d0d",="AUI-10259","205","488:56","593.55","USD","2816.475",="FLO | EVC176 | SLID 154374 | 4977 N Genesta Ave"
="14a6a91d-5b7f-4243-9695-788741bb239c",="AUI-10228","195","384:43","397.88","USD","1725.87",="FLO | EVC180 | SLID 93411 | 4882 N Libbit Ave"
="f98a729c-445a-4514-8997-2fb4324870c0",="AUI-10345","82","301:43","0.00","USD","1487.609",="FLO | EVC181 | SLID 67020 | 5093 Alonzo Ave"
="92172af6-00d3-4231-80e8-0a5f68485bbf",="AUI-10248","29","62:49","78.53","USD","274.83",="FLO | EVC182 | SLID 196033 | 20217 Prairie St"
="3dcc181a-e99e-4a15-9247-c400d81637c8",="AUI-10328","5","0:22","1.00","USD","2.31",="FLO | EVC184 | SLID 60990 | 25825 Normandie Ave"
="38767f90-7b9f-4124-b8a5-6145559bd0d0",="AUI-10237","12","4:32","7.01","USD","18.392",="FLO | EVC185 | SLID 150897 | 25820 S Western Ave"
="7c6b2994-5068-4c19-b912-e23bb6cc02f8",="AUI-10214","35","108:46","122.04","USD","671.11",="FLO | EVC186 | SLID 149614 | 1557 W 19th St"
="b2e37dfe-705d-4aab-b68d-af16f6670dbc",="AUI-10262","217","689:17","746.87","USD","2478.211",="FLO | EVC191 | SLID 153853 | 12412 W Moorpark St"
="75798d63-961b-4b79-92c0-399de3199144",="AUI-10224","96","189:25","123.71","USD","862.152",="FLO | EVC194 | SLID 131404 | 23743 W Roscoe Blvd"
="510fb9bf-f9e6-41c3-9cdf-25b468fdc571",="AUI-10269","89","246:32","112.01","USD","1389.768",="FLO | EVC195 | SLID 16784 | 17729 Chatsworth Ave"
="958b0ff2-7ee2-4770-be57-71d7528c2e13",="AUI-10205","89","152:22","164.11","USD","808.296",="FLO | EVC196 | SLID 12326 | 6710 Platt Ave"
="526f9c1d-9bdd-429a-b75f-b38b76e5e99d",="AUI-10255","2","0:00","0.00","USD","0.07",="FLO | EVC202 | SLID 71354 | 290 N Mission Road"
="c3fae541-f653-44dc-ac2e-33f05844d318",="AUI-10268","20","80:57","16.93","USD","306.375",="FLO | EVC212 | SLID 113237 | 17832 Plummer Street"
="9e958347-b05b-4fb8-84b2-b583966336bd",="AUI-10257","6","5:22","10.81","USD","30.082",="FLO | EVC213 | SLID 126624 | 20321 W Saticoy St"
="5fa94af6-c990-4f02-8d2f-9225e41a8950",="AUI-10274","14","22:43","0.00","USD","95.417",="FLO | EVC215 | SLID 204035 | 651 W 1st"
="1f56cf2a-b36d-406b-9fd0-bb58382f0885",="AUI-10245","102","200:08","350.40","USD","974.938",="FLO | EVC22 | SLID 78390 | 9200 Venice Blvd"
