,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles)
0,0,AUI-10372,5,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,2.1706564560987736
1,1,AUI-10263,159,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,1.9774020309060956
2,2,AUI-10254,57,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,1.1500723882511739
3,3,AUI-10265,26,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,3.5515490828637404
4,4,AUI-10218,122,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,1.2370966618619246
5,5,AUI-10241,17,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,5.86910147544483
6,6,AUI-10201,60,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,1.3281805703505236
7,7,AUI-10226,139,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,1.4106783828660152
8,8,AUI-10212,34,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,1.3761740733069177
9,9,AUI-10244,25,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,4.963802879676463
10,10,AUI-10259,205,"4977 N Genesta Ave, Los Angeles, CA",34.16129300000001,-118.503322,1.5207656807128698
11,11,AUI-10228,195,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,1.5405174105375652
12,12,AUI-10345,82,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,1.5803909365370283
13,13,AUI-10248,29,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,2.1359996009633018
14,14,AUI-10328,5,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.29749869999999,1.7943242282821439
15,15,AUI-10237,12,"25820 S Western Ave, Los Angeles, CA",33.78875120000001,-118.3074043,2.697257404774312
16,16,AUI-10214,35,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,1.8102463681481435
17,17,AUI-10262,217,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,1.4183342708973623
18,18,AUI-10224,96,"23743 W Roscoe Blvd, Los Angeles, CA",34.219302899999995,-118.644998,2.4688680796390194
19,19,AUI-10269,89,"17729 Chatsworth Ave, Los Angeles, CA",34.265103700000004,-118.5208745,1.8400213915620767
20,20,AUI-10205,89,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.64253470000001,2.3576982174983994
21,21,AUI-10255,2,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,1.3222196372219268
22,22,AUI-10268,20,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,2.6446498930369966
23,23,AUI-10257,6,"20321 W Saticoy St, Los Angeles, CA",34.208268100000005,-118.4721919,5.066727533300207
24,24,AUI-10274,14,"651 W 1st, Los Angeles, CA",33.78102020000001,-118.26943770000001,2.2556281325092224
25,25,AUI-10245,102,"9200 Venice Blvd, Los Angeles, CA",34.0263805,-118.39332390000001,1.7632580711787709
26,26,AUI-10216,80,"4712 W Washington Blvd, Los Angeles, CA",34.0395664,-118.34204890000001,4.831688037495217
27,27,AUI-10273,307,"13310 W Bluff Creek Dr, Los Angeles, CA",33.9681023,-118.4262923,1.2306239008917073
28,28,AUI-10270,10,"9037 Loyola Blvd, Los Angeles, CA",33.957465899999995,-118.4177188,2.3276529998243185
29,29,AUI-10232,83,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,1.9828689963255033
30,30,AUI-10256,10,"8843 S St Andrews Pl, Los Angeles, CA",33.9573684,-118.31162959999999,2.279602458621384
31,31,AUI-10230,12,"8923 S Western Ave, Los Angeles, CA",33.9556072,-118.3092868,2.0810923206470524
32,32,AUI-10234,59,"3145 S Vermont Ave, Los Angeles, CA",34.026238899999996,-118.29168100000001,1.6555100649254468
33,33,AUI-10240,107,"3540 W 3rd St, Los Angeles, CA",34.0687591,-118.2931096,1.2922310522018416
34,34,AUI-10239,143,"19054 N Kittridge St, Los Angeles, CA",34.1902212,-118.5485848,1.7847283361255426
35,35,AUI-10225,43,"23385 W Burbank Blvd, Los Angeles, CA",34.1722467,-118.6443485,1.7412752231701814
36,36,AUI-10223,9,"18401-18435 Kittridge St, Los Angeles, CA",34.1902425,-118.53350149999999,2.014073723125114
37,37,AUI-10203,29,"6813 N Hayvenhurst Ave, Los Angeles, CA",34.166923,-118.4923732,1.427323908551982
38,38,AUI-10202,12,"6013 W Cadillac Ave, Los Angeles, CA",34.037672,-118.37471399999998,3.0617800266793664
39,39,AUI-10253,116,"587 S Hobart Blvd, Los Angeles, CA",34.0638047,-118.30550590000001,2.1547804724392035
40,40,AUI-10215,107,"609 W Alpine St, Los Angeles, CA",34.063369,-118.241175,1.5155215110652418
41,41,AUI-10219,138,"6438 N Fulton Ave, Los Angeles, CA",34.18744,-118.42241200000001,1.5956351757458818
42,42,AUI-10242,71,"1109 South La Brea Ave, Los Angeles, CA",34.054634,-118.34399599999999,1.914935010389727
43,43,AUI-10272,61,"7614 N Louise Ave, Los Angeles, CA",34.2088705,-118.5096412,2.7839990449582435
44,44,AUI-10260,35,"9866 N De Soto Ave, Los Angeles, CA",34.249545,-118.5883922,1.3736632785215643
45,45,AUI-10258,20,"11118 S Main St, Los Angeles, CA",33.93414600000001,-118.2737655,1.333340257363653
46,46,AUI-10222,13,"3840 S Western Ave, Los Angeles, CA",34.016127000000004,-118.30875690000002,1.8904321842250391
47,47,AUI-10209,39,"11730 National Blvd, Los Angeles, CA",34.02189370000001,-118.4394675,1.613783640247963
