,Station,Total Sessions,Address,Distance To Freeway (in miles),Latitude,Longitude
0,AUI-10372,5,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",2.1888681488145956,34.010743,-118.318367
1,AUI-10263,159,"1231 S Hill St, Los Angeles, CA",2.2026372331303627,34.0384292,-118.2615673
2,AUI-10254,57,"942 S Crocker St, Los Angeles, CA",3.2868385457111438,34.037807,-118.248334
3,AUI-10265,26,"5764 S Vermont Ave, Los Angeles, CA",1.8011509739654679,33.8820604,-118.2913156
4,AUI-10218,122,"7150 N Shoup Ave, Los Angeles, CA",18.897771018436213,34.1921278,-118.6144642
5,AUI-10241,17,"20771 W Sherman Way, Los Angeles, CA",17.403902915628816,34.2009476,-118.5231531
6,AUI-10201,60,"145 E Olympic Blvd, Los Angeles, CA",2.9105948357619145,34.0401176,-118.2562234
7,AUI-10226,139,"1222 S Grand Ave, Los Angeles, CA",2.2026372331303627,34.0545689,-118.2497783
8,AUI-10212,34,"1676 N Hobart Blvd, Los Angeles, CA",4.535509808368601,34.1012457,-118.3055391
9,AUI-10244,25,"5617 N Laurel Canyon Blvd, Los Angeles, CA",9.898060886573996,34.123538,-118.375305
10,AUI-10259,205,"4977 N Genesta Ave, Los Angeles, CA",12.370706144688384,34.061746,-117.253312
11,AUI-10228,195,"4882 N Libbit Ave, Los Angeles, CA",12.370706144688384,34.466642,-118.124352
12,AUI-10345,82,"5093 Alonzo Ave, Los Angeles, CA",12.370706144688384,34.1616141,-118.520396
13,AUI-10248,29,"20217 Prairie St, Los Angeles, CA",22.09065612666972,34.2392837,-118.5735975
14,AUI-10328,5,"25825 Normandie Ave, Los Angeles, CA",10.323177855972117,33.7895848,-118.2975784
15,AUI-10237,12,"25820 S Western Ave, Los Angeles, CA",10.323177855972117,34.0321522,-118.3089817
16,AUI-10214,35,"1557 W 19th St, Los Angeles, CA",16.990121714110355,33.7269615,-118.3106067
17,AUI-10262,217,"12412 W Moorpark St, Los Angeles, CA",10.535277199722877,33.973951,-118.248405
18,AUI-10224,96,"23743 W Roscoe Blvd, Los Angeles, CA",21.19694245393798,35.666224,-117.868455
19,AUI-10269,89,"17729 Chatsworth Ave, Los Angeles, CA",18.167441826135427,34.704081,-117.304125
20,AUI-10205,89,"6710 Platt Ave, Los Angeles, CA",19.392751241142886,34.1933817,-118.6423763
21,AUI-10255,2,"290 N Mission Road, Los Angeles, CA",5.839402323090736,34.050953,-118.227155
22,AUI-10268,20,"17832 Plummer Street, Los Angeles, CA",16.85172897163765,34.2427666,-118.4637237
23,AUI-10257,6,"20321 W Saticoy St, Los Angeles, CA",17.403902915628816,34.2082753,-118.470572
24,AUI-10274,14,"651 W 1st, Los Angeles, CA",10.323177855972117,34.056108,-118.249167
25,AUI-10245,102,"9200 Venice Blvd, Los Angeles, CA",5.565898940273931,34.0446886,-118.352233
26,AUI-10216,80,"4712 W Washington Blvd, Los Angeles, CA",5.93325597226831,34.0337594,-118.2708283
27,AUI-10273,307,"13310 W Bluff Creek Dr, Los Angeles, CA",4.208552199406546,33.9745703,-118.4159861
28,AUI-10270,10,"9037 Loyola Blvd, Los Angeles, CA",4.892467134913249,33.9573828,-118.4178699
29,AUI-10232,83,"1724 W Century Blvd, Los Angeles, CA",3.876984269810494,33.9453214,-118.3711255
30,AUI-10256,10,"8843 S St Andrews Pl, Los Angeles, CA",3.104781294474901,33.9574505,-118.3112869
31,AUI-10230,12,"8923 S Western Ave, Los Angeles, CA",3.296001115093493,33.9832491,-118.3089681
32,AUI-10234,59,"3145 S Vermont Ave, Los Angeles, CA",1.785932202131885,33.8820604,-118.2913156
33,AUI-10240,107,"3540 W 3rd St, Los Angeles, CA",5.274695741074537,34.0688125,-118.2931133
34,AUI-10239,143,"19054 N Kittridge St, Los Angeles, CA",12.370706144688384,33.973951,-118.248405
35,AUI-10225,43,"23385 W Burbank Blvd, Los Angeles, CA",19.1038205500176,34.1724035,-118.6444898
36,AUI-10223,9,"18401-18435 Kittridge St, Los Angeles, CA",12.370706144688384,33.973951,-118.248405
37,AUI-10203,29,"6813 N Hayvenhurst Ave, Los Angeles, CA",13.400661624232514,34.094262,-118.367485
38,AUI-10202,12,"6013 W Cadillac Ave, Los Angeles, CA",5.93325597226831,34.037588,-118.374499
39,AUI-10253,116,"587 S Hobart Blvd, Los Angeles, CA",1.7856585320889966,34.0638529,-118.3054517
40,AUI-10215,107,"609 W Alpine St, Los Angeles, CA",2.4937608736791583,34.063364,-118.241424
41,AUI-10219,138,"6438 N Fulton Ave, Los Angeles, CA",9.898060886573996,33.929561,-118.365664
42,AUI-10242,71,"1109 South La Brea Ave, Los Angeles, CA",3.2457726639932867,34.05494,-118.3440692
43,AUI-10272,61,"7614 N Louise Ave, Los Angeles, CA",13.327552454033228,34.1306127,-117.9146738
44,AUI-10260,35,"9866 N De Soto Ave, Los Angeles, CA",22.538266046499313,34.077912,-118.1934
45,AUI-10258,20,"11118 S Main St, Los Angeles, CA",4.514827140190506,34.035312,-118.261207
46,AUI-10222,13,"3840 S Western Ave, Los Angeles, CA",1.8900295848027564,34.0625069,-118.3091135
47,AUI-10209,39,"11730 National Blvd, Los Angeles, CA",5.350007745020277,34.0222934,-118.4392424
48,AUI-10210,77,"11667 W Santa Monica Blvd, Los Angeles, CA",5.850325563187807,34.047447,-118.444939
49,AUI-10213,81,"10478 W Wilshire Blvd, Los Angeles, CA",5.32166199256443,34.062967,-118.361375
50,AUI-10211,67,"8334 Lincoln Blvd, Los Angeles, CA",4.892467134913249,33.9540892,-118.4128871
51,AUI-10221,13,"12159 W Olympic Blvd, Los Angeles, CA",5.814208834749067,34.0323477,-118.4538974
52,AUI-10217,135,"6646 W Sunset Blvd, Los Angeles, CA",5.080774089562552,34.0979885,-118.3324706
53,AUI-10208,242,"12237 W Santa Monica Blvd, Los Angeles, CA",5.814208834749067,34.047447,-118.444939
54,AUI-10271,21,"11816 W Major St, Los Angeles, CA",5.351481576633282,33.973951,-118.248405
55,AUI-10252,60,"11677 San Vicente Blvd, Los Angeles, CA",5.850325563187807,34.0551242,-118.3581484
56,AUI-10250,6,"8624 S Wilton Pl, Los Angeles, CA",3.070056936916021,33.9596393,-118.314913
57,AUI-10246,46,"1516 N North Spring St, Los Angeles, CA",3.874892816750041,34.067929,-118.230739
58,AUI-10220,23,"616 W Washington Blvd, Los Angeles, CA",2.593882756875914,34.0337594,-118.2708283
59,AUI-10243,3,"13076 W Sherman Way, Los Angeles, CA",9.898060886573996,34.2009476,-118.5231531
60,AUI-10204,150,"2843 S Flower St, Los Angeles, CA",2.0876923161312373,34.0543536,-118.2535055
61,AUI-10200,207,"182 S Alameda St, Los Angeles, CA",5.355732255042099,34.047544,-118.2379907
62,AUI-10227,49,"19135 W Victory Blvd, Los Angeles, CA",12.370706144688384,33.967248,-118.33303
63,AUI-10235,102,"12387 W Osborne St, Los Angeles, CA",15.852974075749536,35.006136,-117.636659
64,AUI-10206,108,"6765 W Foothill Blvd, Los Angeles, CA",12.870253941315962,34.1081136,-117.7492179
65,AUI-10266,25,"12518 W Oxnard St, Los Angeles, CA",10.218310086666262,34.1792808,-118.6037837
66,AUI-10264,45,"12728 W Sherman Way, Los Angeles, CA",9.898060886573996,34.2009476,-118.5231531
