,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles),num_pois_nearby,ev_car_zip_count,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
0,0,AUI-10372,5,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,2.1706564560987736,20,232,0.14936149341820282,34.0,0.6428571428571429,56708.0,5156,1040,944,2213,959
1,1,AUI-10263,159,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,1.9774020309060958,99,224,-0.11658215953072175,29.0,0.09440389294403892,88800.0,6133,515,3220,2063,335
2,2,AUI-10254,57,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,1.150072388251174,98,79,1.2070649167533478,32.0,0.06715328467153285,27632.0,1754,208,692,774,80
3,3,AUI-10265,26,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,3.5515490828637404,30,62,1.199626960631544,35.0,0.8459743290548425,37067.0,6588,1926,1816,2340,506
4,4,AUI-10218,122,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,1.2370966618619246,36,126,-0.2016254625429061,31.0,0.9828042328042328,88526.0,5723,884,1271,2616,952
5,5,AUI-10241,17,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,5.869101475444831,33,532,0.8919442752393832,33.0,0.3154499151103565,40665.0,5005,1009,1377,2091,528
6,6,AUI-10201,60,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,1.3281805703505236,109,224,-0.11658215953072175,29.0,0.09440389294403892,88800.0,6133,515,3220,2063,335
7,7,AUI-10226,139,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,1.4106783828660152,100,224,-0.11658215953072175,29.0,0.09440389294403892,88800.0,6133,515,3220,2063,335
8,8,AUI-10212,34,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,1.3761740733069177,56,154,0.7261335421745508,30.0,0.14107883817427386,35938.0,3873,524,1125,1576,648
9,9,AUI-10244,25,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,4.963802879676463,26,233,-0.015167129043062609,35.0,1.0874617737003058,64135.0,4901,1064,1318,1830,689
10,10,AUI-10259,205,"4977 N Genesta Ave, Los Angeles, CA",34.16129300000001,-118.503322,1.5207656807128698,59,598,-0.21685336307918915,36.0,0.4140256237356709,79023.0,4803,961,897,2012,933
11,11,AUI-10228,195,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,1.5405174105375652,54,901,-1.11512109762523,34.0,0.9671266233766234,144337.0,5336,990,1014,2166,1166
12,12,AUI-10345,82,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,1.5803909365370283,30,598,-0.03980811934271061,36.0,0.6287425149700598,69048.0,2856,442,521,1205,688
13,13,AUI-10248,29,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,2.1359996009633018,14,556,-0.4087095810901445,29.0,0.9339320076972418,83971.0,4307,889,768,1826,824
14,14,AUI-10328,5,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.29749869999999,1.794324228282144,27,177,1.0846576622651585,21.0,0.4646596858638744,41117.0,2847,778,578,1194,297
15,15,AUI-10237,12,"25820 S Western Ave, Los Angeles, CA",33.78875120000001,-118.3074043,2.697257404774312,31,180,0.02024501695331549,28.0,0.4516129032258064,50735.0,2552,458,811,1105,178
16,16,AUI-10214,35,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,1.8102463681481435,19,225,-0.4836514204085857,28.0,0.4578866768759571,100982.0,5476,974,1228,2525,749
17,17,AUI-10262,217,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,1.4183342708973623,56,947,0.20431671504928,33.0,0.28365515365787325,91563.0,5241,1179,990,2484,588
18,18,AUI-10224,96,"23743 W Roscoe Blvd, Los Angeles, CA",34.219302899999995,-118.644998,2.4688680796390194,17,433,-0.7485972682927924,33.0,1.0059523809523812,105208.0,2424,534,407,1011,472
19,19,AUI-10269,89,"17729 Chatsworth Ave, Los Angeles, CA",34.265103700000004,-118.5208745,1.840021391562077,31,827,-0.6047326909669981,30.0,1.0986629783310282,80521.0,5329,1152,1099,2260,818
20,20,AUI-10205,89,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.64253470000001,2.3576982174984,26,560,-0.7237261917025528,37.0,1.1070823449678076,115519.0,7674,1706,1183,3475,1310
21,21,AUI-10255,2,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,1.3222196372219268,41,64,0.5212263191176763,33.0,0.19892302819132088,35706.0,5185,1141,1544,1570,930
22,22,AUI-10268,20,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,2.6446498930369966,32,71,0.3449804003639989,28.0,0.41302381670183896,51094.0,4752,581,2409,1202,560
23,23,AUI-10257,6,"20321 W Saticoy St, Los Angeles, CA",34.208268100000005,-118.4721919,5.066727533300207,26,469,-0.41475426297063417,38.0,0.48407357559443703,53476.0,3731,724,846,1676,485
