,Station,Total Sessions,Address,Latitude,Longitude,num_pois_nearby
0,AUI-10372,5,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,20
1,AUI-10263,159,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,99
2,AUI-10254,57,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,97
3,AUI-10265,26,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.2911317,30
4,AUI-10218,122,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.614541,37
5,AUI-10241,17,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.4531985,33
6,AUI-10201,60,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.2564209,108
7,AUI-10226,139,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.2635887,100
8,AUI-10212,34,"1676 N Hobart Blvd, Los Angeles, CA",34.1013974,-118.3056538,56
9,AUI-10244,25,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.3978384,26
10,AUI-10259,205,"4977 N Genesta Ave, Los Angeles, CA",34.16129300000001,-118.503322,59
11,AUI-10228,195,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,54
12,AUI-10345,82,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,30
13,AUI-10248,29,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,14
14,AUI-10328,5,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.2974987,27
15,AUI-10237,12,"25820 S Western Ave, Los Angeles, CA",33.78875120000001,-118.3074043,31
16,AUI-10214,35,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,19
17,AUI-10262,217,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,56
18,AUI-10224,96,"23743 W Roscoe Blvd, Los Angeles, CA",34.219302899999995,-118.644998,17
19,AUI-10269,89,"17729 Chatsworth Ave, Los Angeles, CA",34.265103700000004,-118.5208745,31
20,AUI-10205,89,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.6425347,26
21,AUI-10255,2,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,41
22,AUI-10268,20,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,32
23,AUI-10257,6,"20321 W Saticoy St, Los Angeles, CA",34.208268100000005,-118.4721919,26
24,AUI-10274,14,"651 W 1st, Los Angeles, CA",33.78102020000001,-118.2694377,31
25,AUI-10245,102,"9200 Venice Blvd, Los Angeles, CA",34.0263805,-118.3933239,67
26,AUI-10216,80,"4712 W Washington Blvd, Los Angeles, CA",34.0395664,-118.3420489,35
27,AUI-10273,307,"13310 W Bluff Creek Dr, Los Angeles, CA",33.9681023,-118.4262923,47
28,AUI-10270,10,"9037 Loyola Blvd, Los Angeles, CA",33.957465899999995,-118.4177188,31
29,AUI-10232,83,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,16
30,AUI-10256,10,"8843 S St Andrews Pl, Los Angeles, CA",33.9573684,-118.3116296,25
31,AUI-10230,12,"8923 S Western Ave, Los Angeles, CA",33.9556072,-118.3092868,23
32,AUI-10234,59,"3145 S Vermont Ave, Los Angeles, CA",34.0262389,-118.291681,60
33,AUI-10240,107,"3540 W 3rd St, Los Angeles, CA",34.0687591,-118.2931096,89
34,AUI-10239,143,"19054 N Kittridge St, Los Angeles, CA",34.1902212,-118.5485848,18
35,AUI-10225,43,"23385 W Burbank Blvd, Los Angeles, CA",34.1722467,-118.6443485,0
36,AUI-10223,9,"18401-18435 Kittridge St, Los Angeles, CA",34.1902425,-118.5335015,30
37,AUI-10203,29,"6813 N Hayvenhurst Ave, Los Angeles, CA",34.166923,-118.4923732,18
38,AUI-10202,12,"6013 W Cadillac Ave, Los Angeles, CA",34.037672,-118.37471399999998,30
39,AUI-10253,116,"587 S Hobart Blvd, Los Angeles, CA",34.0638047,-118.3055059,94
40,AUI-10215,107,"609 W Alpine St, Los Angeles, CA",34.063369,-118.241175,99
41,AUI-10219,138,"6438 N Fulton Ave, Los Angeles, CA",34.18744,-118.422412,29
42,AUI-10242,71,"1109 South La Brea Ave, Los Angeles, CA",34.054634,-118.343996,49
43,AUI-10272,61,"7614 N Louise Ave, Los Angeles, CA",34.2088705,-118.5096412,27
44,AUI-10260,35,"9866 N De Soto Ave, Los Angeles, CA",34.249545,-118.5883922,26
45,AUI-10258,20,"11118 S Main St, Los Angeles, CA",33.93414600000001,-118.2737655,26
46,AUI-10222,13,"3840 S Western Ave, Los Angeles, CA",34.016127000000004,-118.30875690000002,28
47,AUI-10209,39,"11730 National Blvd, Los Angeles, CA",34.02189370000001,-118.4394675,28
48,AUI-10210,77,"11667 W Santa Monica Blvd, Los Angeles, CA",34.044141,-118.455429,60
49,AUI-10213,81,"10478 W Wilshire Blvd, Los Angeles, CA",34.0647503,-118.4310256,19
50,AUI-10211,67,"8334 Lincoln Blvd, Los Angeles, CA",33.9618772,-118.4208079,39
51,AUI-10221,13,"12159 W Olympic Blvd, Los Angeles, CA",34.032711,-118.4550231,41
52,AUI-10217,135,"6646 W Sunset Blvd, Los Angeles, CA",34.0978525,-118.3348393,121
53,AUI-10208,242,"12237 W Santa Monica Blvd, Los Angeles, CA",34.04001179999999,-118.46559340000002,58
54,AUI-10271,21,"11816 W Major St, Los Angeles, CA",33.984934,-118.4002577,48
55,AUI-10252,60,"11677 San Vicente Blvd, Los Angeles, CA",34.054247100000005,-118.4651397,63
56,AUI-10250,6,"8624 S Wilton Pl, Los Angeles, CA",33.9591244,-118.314752,26
57,AUI-10246,46,"1516 N North Spring St, Los Angeles, CA",34.06782860000001,-118.2305633,63
58,AUI-10220,23,"616 W Washington Blvd, Los Angeles, CA",34.0347482,-118.2737356,50
59,AUI-10243,3,"13076 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,33
60,AUI-10204,150,"2843 S Flower St, Los Angeles, CA",34.0262014,-118.2760072,62
61,AUI-10200,207,"182 S Alameda St, Los Angeles, CA",34.047486,-118.2378968,122
62,AUI-10227,49,"19135 W Victory Blvd, Los Angeles, CA",34.186682,-118.549965,18
