,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_6.7_km,pop_below_18_6.7_km,pop_between_18_34_6.7_km,pop_between_34_65_6.7_km,pop_over_65_6.7_km,occupied_households_6.7_km,family_households_6.7_km,nonfamily_households_6.7_km,householder_less_than_high_school_6.7_km,householder_high_school_degree_6.7_km,householder_some_college_6.7_km,householder_bachelors_degree_6.7_km,older_than_3_in_school_6.7_km,older_than_3_not_in_school_6.7_km,not_high_school_grad_6.7_km,high_school_grad_6.7_km,employed_6.7_km,unemployed_6.7_km,not_in_labor_force_6.7_km,30_49_percet_income_to_rent_6.7_km,over_50_percent_income_to_rent_6.7_km,commuters_by_car_truck_van_6.7_km,commuters_by_car_truck_van_alone_6.7_km,commuters_by_car_truck_van_carpool_6.7_km,children_living_with_single_parents_6.7_km,private_sector_6.7_km,public_sector_6.7_km,self_employed_6.7_km,private_non-profit_6.7_km,unpaid_family_workers_6.7_km,households_social_security_income_6.7_km,households_SsI_6.7_km,households_retirement_income_6.7_km,housing_units_6.7_km,vacant_units_6.7_km,total_cars_6.7_km,concentrated_disadvantage_6.7_km,commute_time_6.7_km,median_household_income_6.7_km,average_household_size_6.7_km,population_density_6.7_km,median_house_value_6.7_km,ev_car_count_6.7_km,total_sessions,total_connection_time,total_amount,total_kwh,distance_freeway
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,886195.2006,204181.9039,258120.2946,330812.6751,93080.32711,295902.3913,178007.5403,117894.851,80959.68606,57463.68976,79755.63659,77723.37887,245511.3978,606062.6819,2203.539941,47901.25631,419369.7015,36813.23809,248578.1227,58116.77451,74154.53807,300488.5138,263354.3647,37134.14907,76834.26388,296476.6083,38723.93932,58607.63055,25062.0524,499.4708882,62408.44574,24627.42802,28271.48535,317694.0241,21791.63285,532575.8969,0.578838167,32.80913911,52309.58817,2.942642006,16309.63527,555027.5806,4270.836328,5,3:18,0,12.183,2.170656456
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,963470.0963,215784.544,302383.2476,351015.344,94286.96071,309240.8997,182306.772,126934.1277,101850.7657,58140.70313,66923.75068,82325.68017,262060.7023,664875.0712,2635.560453,50704.27255,460533.544,37172.41447,273622.4205,69750.41657,79791.4872,304875.4098,263896.6229,40978.78695,79803.84097,333458.9141,32489.1329,68966.95764,24972.07981,646.4595848,59932.33993,27362.02426,17824.96033,333521.5083,24280.60862,542550.1207,0.485603134,31.94828789,45617.02919,3.078015943,17768.23961,536226.8017,5514.212278,159,542:59:00,67.38,2846.116,1.977402031
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,936197.3805,216397.6814,294530.9675,335939.4686,89329.26306,292406.156,176455.9046,115950.2514,104259.416,55237.07088,61373.98203,71535.68706,261071.654,638982.8831,2708.495834,50760.82923,439046.6118,36987.33873,267759.4535,66318.8205,75546.25945,290647.6385,249599.7563,41047.88217,79444.09851,322914.4716,30420.7259,61965.97985,23170.23273,575.2017583,57016.49255,26589.56803,16188.033,314690.9202,22284.76424,511889.2094,0.496394821,31.60633244,44408.12986,3.159252025,17261.35727,489945.1281,5055.253831,57,115:08:00,214.96,497.165,1.150072388
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.2911317,90037,6037232700,861165.1616,226486.7893,246214.7817,307906.6738,80556.91674,251487.5652,169393.7301,82093.83505,88034.11608,56219.9828,67644.88687,39588.57943,258589.5326,565728.7996,2569.097459,53033.16394,371203.9052,36551.19668,252783.8591,45974.66124,64673.83859,276679.6241,239169.1564,37510.46777,86793.33002,269283.2414,37454.55403,44302.8628,19774.78773,388.4592932,56310.60582,24930.77798,26012.44568,267217.3737,15729.80849,453102.2498,0.786923789,33.79035913,44607.0321,3.305047975,15852.6384,430862.4733,2130.703155,26,32:57:00,50.29,139.396,3.551549083
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.614541,91303,6037134303,299568.0195,62425.18288,70622.18979,123560.1659,42960.48092,100714.5714,70405.5393,30309.0321,11507.17049,17144.48784,30531.01254,41531.90053,74819.35191,214010.0867,449.0454625,13924.42402,153218.3283,10441.72428,81192.90265,11821.79895,13888.00998,125261.8734,110071.275,15190.59844,14742.44794,106345.9747,12822.27932,24657.75883,9115.823089,276.4923988,27082.76547,5779.294112,12703.21745,105293.4978,4578.926368,192642.5516,-0.440442067,29.60793811,86922.56528,2.610993621,5528.961517,617961.7492,3437.445073,122,210:57:00,260.14,1142.335,1.237096662
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.4531985,91401-2649,6037127220,570493.344,129176.6517,152427.6553,224325.8567,64563.18029,184873.025,122983.1843,61889.84073,37115.99059,34500.11905,52589.40638,60667.50898,146106.9858,402682.7863,1224.212842,27549.43843,289576.7907,23258.61697,143362.3227,31026.31372,37522.05774,235923.9227,207486.3765,28437.54616,33275.36933,201185.0914,24659.31631,47154.2378,16181.25087,396.8942705,39939.8914,12888.62292,16988.65426,192755.8337,7882.808689,349822.5312,-0.20765082,31.85468147,74304.75112,3.198155501,10567.60941,582114.2165,5575.511115,17,59:03:00,29.2,158.86,5.869101475
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.2564209,90015,6037207900,951939.8935,213616.3235,299451.7626,345961.4959,92910.31159,303723.5204,179853.9694,123869.5509,101959.917,56889.42874,64715.44576,80158.72888,260155.5059,655778.9105,2659.020572,50296.3784,454287.5758,37171.43428,270326.1722,68979.81611,77909.68227,300358.1092,259502.5464,40855.5628,78650.88178,330059.9815,31816.01334,67267.73396,24499.6877,644.1593462,58831.21691,26963.54496,17001.42103,327500.37,23776.84966,532718.4183,0.480506624,31.77789062,45763.90446,3.096677962,17561.94952,527086.1102,5474.395173,60,165:30:00,84.68,550.297,1.32818057
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.0392827,-118.2635887,90015,6037207900,964525.0061,214839.963,302752.3443,352034.5687,94898.13008,311226.9683,182604.9443,128622.024,101132.0687,58372.31803,67727.87909,83994.70244,261356.3544,666734.6097,2612.537492,50505.08257,462175.0417,37295.11579,273723.9409,70039.1764,80327.16638,305896.8435,265050.6838,40846.15975,79612.01162,333948.7169,32680.2161,69700.36781,25200.63637,645.1045241,60293.04846,27469.55609,18103.19613,335821.9818,24595.01354,546171.2763,0.483378727,31.98564263,46013.22425,3.061718869,17788.61525,544832.7135,5597.604742,139,774:06:00,81.94,3446.609,1.410678383
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.1013974,-118.3056538,90029-3737,6037190520,731137.6351,122384.905,231167.7893,292112.3387,85472.60206,302252.4452,142664.1896,159588.2556,51421.87733,45435.34767,69697.81506,135697.4051,153435.1983,554916.168,1349.240201,23533.62829,413000.2318,31404.51968,176266.6579,66294.68902,72785.88247,278251.5229,250977.888,27273.63484,40245.80907,281885.7888,25934.22895,78957.39575,25574.24841,648.5699384,50455.90951,21049.84574,16126.70611,333024.9074,30772.46218,547842.831,1.159994116,26.54340392,76372.38031,2.351484188,13502.42532,951428.3955,8400.767218,34,45:01:00,20.1,157.361,1.376174073
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.3978384,91352,6037121010,499680.8213,117399.3725,136868.1053,192292.4314,53120.91212,145567.7109,104048.173,41519.5379,40530.37871,31685.1969,40439.29006,32912.84527,134205.0994,347059.1866,1225.544896,26305.9256,240951.9868,20106.79346,134995.1866,23703.66423,31414.16776,197427.4096,170688.7811,26738.62856,30061.76072,171559.737,20676.47878,35358.31166,13091.81636,265.6429589,32988.55495,12459.42456,13165.57723,151927.6434,6359.932472,273193.1032,-0.177040713,31.08825695,63936.84629,3.446973311,9249.715283,492519.1741,3251.011237,25,77:54:00,11.05,317.646,4.96380288
